iteration,time_step,prediction,actual,error,rmse,mase
11,17,9333821000000.0,9489543593984.0,-155722973184.0,203658017027.64066,0.18463885126170945
11,18,10042013000000.0,10358205972480.0,-316192849920.0,203658017027.64066,0.18463885126170945
12,17,9425207000000.0,9489543593984.0,-64336429056.0,127604315394.39136,0.18173869597801648
12,18,10181203000000.0,10358205972480.0,-177002774528.0,127604315394.39136,0.18173869597801648
12,19,10914817000000.0,10799147909120.0,115669467136.0,127604315394.39136,0.18173869597801648
13,18,10193662000000.0,10358205972480.0,-164543594496.0,158098016850.68234,0.23085449546074563
13,19,10840085000000.0,10799147909120.0,40937455616.0,158098016850.68234,0.23085449546074563
13,20,11787566000000.0,11572544012288.0,215022043136.0,158098016850.68234,0.23085449546074563
14,19,10983849000000.0,10799147909120.0,184701419520.0,140310919693.00882,0.12998412451942942
14,20,11707703000000.0,11572544012288.0,135159349248.0,140310919693.00882,0.12998412451942942
14,21,12777084000000.0,12858808074240.0,-81723916288.0,140310919693.00882,0.12998412451942942
15,20,11779395000000.0,11572544012288.0,206850490368.0,186120397683.2177,0.16623152977504183
15,21,12629313000000.0,12858808074240.0,-229495537664.0,186120397683.2177,0.16623152977504183
15,22,13783544000000.0,13691527364608.0,92016738304.0,186120397683.2177,0.16623152977504183
16,21,12575953000000.0,12858808074240.0,-282855473152.0,186118477290.24606,0.15786932914709847
16,22,13537798000000.0,13691527364608.0,-153729630208.0,186118477290.24606,0.15786932914709847
16,23,14789898000000.0,14773157625856.0,16740515840.0,186118477290.24606,0.15786932914709847
17,22,13307152000000.0,13691527364608.0,-384375455744.0,331836308853.09894,0.2882016677556395
17,23,14399981000000.0,14773157625856.0,-373176664064.0,331836308853.09894,0.2882016677556395
17,24,15717280000000.0,15925464006656.0,-208184279040.0,331836308853.09894,0.2882016677556395
18,23,14034872000000.0,14773157625856.0,-738285584384.0,638495201809.489,0.5385828330292894
18,24,15246358000000.0,15925464006656.0,-679106052096.0,638495201809.489,0.5385828330292894
18,25,16638354000000.0,17103948087296.0,-465593958400.0,638495201809.489,0.5385828330292894
19,24,14765813000000.0,15925464006656.0,-1159650607104.0,979486432685.5818,0.8114568170630265
19,25,16108823000000.0,17103948087296.0,-995124838400.0,979486432685.5818,0.8114568170630265
19,26,17564259000000.0,18301224747008.0,-736965427200.0,979486432685.5818,0.8114568170630265
20,25,15578359000000.0,17103948087296.0,-1525588951040.0,1272128017088.1406,1.024421630996439
20,26,17031687000000.0,18301224747008.0,-1269538226176.0,1272128017088.1406,1.024421630996439
