iteration,time_step,prediction,actual,error,rmse,mase
21,28,-26964326000.0,5212.162,-26964331612.162,17497073110.502823,179316097.37456036
22,27,-13374715000.0,5252.932,-13374720132.932,17665273346.974792,144113223.6231075
22,28,-4019865000.0,5212.162,-4019870300.162,17665273346.974792,144113223.6231075
22,29,-27223940000.0,5377.797,-27223944449.797,17665273346.974792,144113223.6231075
23,28,-13501679000.0,5212.162,-13501683804.162,17833245922.13699,106750713.37128805
23,29,-4056555500.0,5377.797,-4056560897.797,17833245922.13699,106750713.37128805
23,30,-27483132000.0,5262.145,-27483137166.145,17833245922.13699,106750713.37128805
24,29,-13628616000.0,5377.797,-13628621057.797,18001093874.456463,45704150.59667546
24,30,-4093705000.0,5262.145,-4093710222.145,18001093874.456463,45704150.59667546
24,31,-27742028000.0,4714.628,-27742032490.628,18001093874.456463,45704150.59667546
25,30,-13754714000.0,5262.145,-13754719374.145,18167734580.652718,35359836.06170984
25,31,-4131123000.0,4714.628,-4131127658.628,18167734580.652718,35359836.06170984
