,n_countries,avg_abs_correlation,max_abs_correlation,granger_significance_rate,avg_granger_pvalue,n_granger_significant,avg_mutual_info,max_mutual_info,common_best_lag
hydro_elec_per_capita,19.0,0.4887577487068055,0.9848655404355149,0.21052631578947367,0.32153591239982027,4.0,0.6811664988247962,2.101406598047244,0.0
coal_cons_change_twh,19.0,0.1735613499064519,0.6884156169542955,0.3157894736842105,0.19856028928036706,6.0,0.2458543489719379,0.5353595522815415,0.0
gas_consumption,19.0,0.7968374486209373,0.9945729538793691,0.47368421052631576,0.10215216830952933,9.0,1.461912953282292,2.1717993879315602,0.0
low_carbon_share_elec,19.0,0.5874202727665109,0.9107718318192088,0.3684210526315789,0.2227866165754992,7.0,0.5180467659733742,0.8610672149203045,0.0
electricity_share_energy,19.0,0.7564132596183171,0.9780515462442823,0.5789473684210527,0.13055996641315268,11.0,0.8977153097685019,1.768754679148016,4.0
gas_production,19.0,0.7511975901679007,0.9946043790331687,0.47368421052631576,0.11611212119436536,9.0,1.1296082598591168,2.0701890729114742,4.0
other_renewable_consumption,19.0,0.7339177581959737,0.9743002962444818,0.631578947368421,0.09744691146343844,12.0,0.9705761964193924,1.6011902507412268,0.0
solar_elec_per_capita,19.0,0.5154323277291845,0.886315591273018,0.8421052631578947,0.04971868513934773,16.0,0.3610477055803134,0.6690426336667572,0.0
wind_share_energy,19.0,0.6148450825692912,0.9622317131069567,0.6842105263157895,0.1207958227335089,13.0,0.6214959210725315,1.4893570474335587,0.0
nuclear_cons_change_twh,19.0,0.1175035928544305,0.8009009424664189,0.42105263157894735,0.20294575376911414,8.0,0.28961062012531896,0.5434474692516535,0.0
other_renewables_share_energy,19.0,0.7206576196749545,0.965691252788291,0.5263157894736842,0.12908222010521772,10.0,0.9610592501963754,1.6924479803696997,0.0
oil_share_elec,19.0,0.5098062992254334,0.9688484095432525,0.2631578947368421,0.23598211870854655,5.0,0.6336584634414224,1.1725894483674009,0.0
renewables_share_energy,19.0,0.6134453940174962,0.9408438456700232,0.2631578947368421,0.22353252641786125,5.0,0.606912822457686,1.384561349995359,0.0
coal_cons_change_pct,19.0,0.18178794594931563,0.6079875122544042,0.3157894736842105,0.3372837485947067,6.0,0.14149712345925358,0.4444985349741346,0.0
oil_elec_per_capita,19.0,0.5723645754971853,0.8313765785184095,0.21052631578947367,0.24996120475357672,4.0,0.59620458731731,1.2889839513003656,0.0
hydro_share_energy,19.0,0.6083637870568609,0.9344217694016549,0.15789473684210525,0.3725494925022918,3.0,0.6775794419788164,1.2135111698352659,0.0
wind_consumption,19.0,0.6286217765798886,0.9259754172502275,0.7894736842105263,0.0628566600805208,15.0,0.5381210377911563,1.3474819672806062,0.0
wind_energy_per_capita,19.0,0.6201017205376635,0.9372977495707415,0.7894736842105263,0.06758810656282858,15.0,0.5476339463271116,1.385840348199674,0.0
coal_electricity,19.0,0.6600561288047837,0.9986958552975105,0.3684210526315789,0.14002030301483576,7.0,0.9345560180420548,2.1702097056030425,0.0
low_carbon_share_energy,19.0,0.6189588349321853,0.9444809423484484,0.3157894736842105,0.21728673575159638,6.0,0.7007771164709939,1.4811622943283647,0.0
nuclear_share_elec,19.0,0.4677096107232866,0.9178483521168841,0.21052631578947367,0.2069776652574788,4.0,0.46173361171609034,1.3527250535030055,0.0
renewables_share_elec,19.0,0.6188715630663263,0.9192634463440006,0.42105263157894735,0.1978621405992856,8.0,0.5405842714070319,0.86260077426551,0.0
other_renewables_elec_per_capita,19.0,0.7323617942920025,0.9699988400785712,0.631578947368421,0.09457419396526111,12.0,0.9545519504362593,1.685196215743494,0.0
other_renewables_energy_per_capita,19.0,0.728280188663135,0.9595244738742174,0.631578947368421,0.09518870272083141,12.0,0.9552990040753576,1.6867394256200372,0.0
fossil_electricity,19.0,0.8261814320334073,0.9980065365676214,0.42105263157894735,0.14876765091086627,8.0,1.2624704205500454,2.190722526115863,0.0
solar_electricity,19.0,0.5125300461972289,0.8864315635094482,0.8421052631578947,0.048659533022336,16.0,0.3582190695205564,0.6577307571374902,0.0
coal_share_elec,19.0,0.5031935330258186,0.9454980357354178,0.3684210526315789,0.16562771619100308,7.0,0.5578694593223366,1.3669111523044892,0.0
hydro_share_elec,19.0,0.6628342699070502,0.9306578229408131,0.21052631578947367,0.2966020795496305,4.0,0.548522512214648,1.0985056262066557,0.0
wind_electricity,19.0,0.6070650160985567,0.9231090370267045,0.7894736842105263,0.062149651369210426,15.0,0.5328451901016013,1.313614026012793,0.0
solar_cons_change_twh,19.0,0.4967962734254503,0.8096901649389827,0.5789473684210527,0.08307903654507347,11.0,0.27900584428581615,0.6228495316174816,0.0
nuclear_elec_per_capita,19.0,0.602449303008619,0.9839717793984071,0.3157894736842105,0.23588162994271342,6.0,0.9399739160533869,1.6541140531599836,0.0
nuclear_share_energy,19.0,0.5383893924953062,0.9423098717322727,0.15789473684210525,0.27309147438060205,3.0,0.7773947760530177,1.3157667523724057,0.0
solar_energy_per_capita,19.0,0.5193336000406706,0.8869750053520917,0.8947368421052632,0.042872280686862226,17.0,0.36968523717528096,0.6690426336667572,0.0
fossil_fuel_consumption,19.0,0.9260279886323196,0.9999981784336548,0.47368421052631576,0.10442835061601152,9.0,1.9752134124604672,2.8030342547596474,0.0
low_carbon_consumption,19.0,0.7605408581535514,0.9931587530644277,0.5263157894736842,0.08966173497061598,10.0,1.2150903830794118,2.1985737905534197,4.0
oil_prod_change_twh,19.0,0.17948489826169142,0.6129140145507421,0.2631578947368421,0.27411437715402903,5.0,0.217582628716843,0.5354583855005397,0.0
fossil_cons_change_twh,19.0,0.210414664693476,0.8069836726817107,0.3157894736842105,0.17430428227253764,6.0,0.24756256022124729,0.745732539520553,0.0
coal_consumption,19.0,0.79483669699886,0.9989884303043848,0.3157894736842105,0.15779543257859371,6.0,1.3284550489674034,2.5473441821204217,0.0
wind_cons_change_twh,19.0,0.5256215104387486,0.8374180366639028,0.7368421052631579,0.06372868428012889,14.0,0.33846465204335024,0.7838718983533304,3.0
oil_production,19.0,0.5327579068343395,0.960651408403108,0.2631578947368421,0.2243958869415764,5.0,0.9237787535058165,1.848902132683474,4.0
gas_prod_per_capita,19.0,0.7246229513805174,0.9759498683001715,0.3157894736842105,0.15390508264852182,6.0,1.086203662166989,1.8905223694418372,4.0
oil_cons_change_twh,19.0,0.18658073941435305,0.7318779550097625,0.3684210526315789,0.12271794721004813,7.0,0.24118894099503033,0.4644570088843287,0.0
coal_prod_change_twh,19.0,0.20355650462885705,0.5921754846224475,0.2631578947368421,0.1882414792830231,5.0,0.23281072670772554,0.8670495938401173,0.0
wind_share_elec,19.0,0.7097163461415531,0.9850759765479318,0.631578947368421,0.1143462154902915,12.0,0.6176803994815637,1.6995837503617017,0.0
energy_cons_change_pct,19.0,0.35479985135598646,0.7000947292980707,0.2631578947368421,0.2856597199260037,5.0,0.1732865897291449,0.5277679516246057,0.0
low_carbon_cons_change_twh,19.0,0.23694828314437255,0.8989006988102557,0.3684210526315789,0.23983181591095026,7.0,0.25927185960604443,0.8471813359790263,0.0
nuclear_energy_per_capita,19.0,0.598809450947775,0.9797064790406355,0.21052631578947367,0.22615053461424597,4.0,0.9663468360321693,1.5971016750982534,0.0
renewables_consumption,19.0,0.6832835596954339,0.9921975327916361,0.5263157894736842,0.12146708223130676,10.0,1.0301248574311643,2.164090336154712,4.0
hydro_electricity,19.0,0.561521829646788,0.9882057790900622,0.2631578947368421,0.21984133436976636,5.0,0.8403147548182078,2.1481170439102324,0.0
gas_cons_change_twh,19.0,0.1363988508928312,0.880349636840968,0.47368421052631576,0.1586443252844059,9.0,0.2761814871875476,0.9845382009988333,0.0
oil_prod_per_capita,19.0,0.555324762632526,0.9680097708704839,0.2631578947368421,0.2651341609082423,5.0,0.83995524020049,1.4965384373010182,0.0
