feature,target,model,n_countries,avg_rmse,std_rmse,min_rmse,max_rmse,avg_mase,std_mase
gas_cons_change_pct,co2,Bi-LSTM,19,647.7570524254076,1790.4345310314773,56.710792890060006,8146.480378449988,8.442310990979331,6.067927475417205
gas_cons_change_pct,co2,ED-LSTM,19,636.7795573969983,1770.669690631261,49.87572162307267,8082.358938489364,8.503480130310693,5.967207340420845
gas_cons_change_pct,co2,CNN,19,570.3744463521092,1536.139073014618,55.05637580460484,6990.134015528258,7.731083424784159,5.341786228679271
gas_consumption,co2,ARIMA,19,218.3003769948438,403.1608052054285,9.403960201656286,1726.3300269422916,2.9174924802793605,1.5153458432717117
gas_consumption,co2,LSTM,19,354.033678772447,689.9143743248743,20.14083485205271,3033.2489398687103,6.5592804646500715,6.9653026678350605
gas_consumption,co2,Bi-LSTM,19,203.9482601547959,241.0783003104159,15.649253400437074,936.1259094116693,4.5961800759131926,3.430218320955028
gas_consumption,co2,ED-LSTM,19,570.1963659369496,1596.0024896854397,37.14732940946232,7221.634235824672,6.285040678261684,4.997520455324229
gas_consumption,co2,CNN,19,762.1590751745274,2317.378299735391,12.833998545266684,10485.37274190482,6.6721704164085205,6.947112104108491
energy_per_gdp,co2,ARIMA,19,103.43796919387856,108.96642155166808,11.087964521608956,450.33595436313277,2.3820315336960163,1.6866648871131544
energy_per_gdp,co2,LSTM,19,756.6336518419183,1806.816741031276,32.02294292183104,8210.750356214994,10.688989659280328,7.897938525955229
energy_per_gdp,co2,Bi-LSTM,19,752.2977026510785,1804.9779597407498,19.507993523892733,8129.223344238551,10.474398794397368,7.60416017403144
energy_per_gdp,co2,ED-LSTM,19,745.0855989168194,1772.7305406938447,28.95683398315374,8057.5254505597,11.651179122662082,8.265713587473028
energy_per_gdp,co2,CNN,19,676.9385141935239,1525.5861227263558,42.47857225690267,6823.645512548701,10.913333258620126,7.240867641833787
population,co2,ARIMA,19,147.96009413371058,209.7219575237491,15.909327023224758,928.5867733648735,3.198902392718814,1.6977622974054956
population,co2,LSTM,19,357.80054081405024,870.1944042126909,38.65663213602309,3966.396305075386,5.921230700091541,5.17973612371422
population,co2,Bi-LSTM,19,383.4190293354739,984.2371371860222,17.95106919246498,4497.393625108314,5.762064506172107,5.133293874147002
population,co2,ED-LSTM,19,280.855538214259,481.5155381080044,25.39554469225797,1795.9567830054623,7.061055965658218,8.60375508067156
population,co2,CNN,19,469.6158004171959,1128.8786716710156,12.457608426724727,5078.457909498843,6.58567005956973,5.307014395831012
electricity_generation,gdp,ARIMA,19,208398779349.34863,262314101331.9285,23815179003.42049,1073685280467.1182,1.1666611432562128,0.692848925213181
electricity_generation,gdp,LSTM,19,615708709493.6675,752375555374.3248,36074567223.987495,2912711991738.0186,3.512785909354139,2.8804318826027395
electricity_generation,gdp,Bi-LSTM,19,948599679314.6163,1576061522774.0522,62977001654.473976,6414034939426.017,4.2502583502128735,2.8913565677322297
electricity_generation,gdp,ED-LSTM,19,1181117151607.1438,1965618896107.119,34431016373.6243,7329712957545.024,5.515964936837887,4.376162561035198
electricity_generation,gdp,CNN,19,508111346519.694,617533049948.7522,67641550262.65085,2356087382527.279,3.248237897056609,2.39784517192449
oil_consumption,gdp,ARIMA,19,308143088738.24335,536408753389.93353,23837925527.594814,2388876954194.756,1.507672909850704,0.8922139011395285
